"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 10 21:23:43 IST 2023","Thu Aug 10 21:23:45 IST 2023","1649","","My Second Cypress Test","","","","Verify the title-positive",""
"passed","Thu Aug 10 21:23:28 IST 2023","Thu Aug 10 21:23:31 IST 2023","2649","","My First Cypress Test","","","","Visits the Spring Boot Demo application Page and check the menu items",""
"failed","Thu Aug 10 21:23:45 IST 2023","Thu Aug 10 21:23:49 IST 2023","4733","","My Second Cypress Test","","","","Verify the title-negative",""
"passed","Thu Aug 10 21:24:28 IST 2023","Thu Aug 10 21:24:31 IST 2023","2594","","My Fifth Cypress Test","","","","Search for the added owner in the owners list",""
"passed","Thu Aug 10 21:24:01 IST 2023","Thu Aug 10 21:24:16 IST 2023","15792","","My Fourth Cypress Test","","","","Add an owner and pet in the owners list",""
